0,307,1
1,584,1
2,78,1
3,1815,1
4,87,1
5,30,1
6,379,1
7,30,1
8,65,1
9,431,1
10,216,1
11,30,1
12,30,1
13,30,1
14,30,1
15,30,1
16,30,1
17,444,1
18,1,1
18,47,1
19,2559,1
20,2568,1
21,3327,1
22,2559,1
23,30,1
24,68,1
25,30,1
26,366,1
27,30,1
28,30,1
29,30,1
30,30,1
31,30,1
32,174,1
33,2009,1
34,703,1
35,30,1
36,2614,1
37,30,1
38,100,1
39,30,1
40,30,1
41,30,1
42,30,1
43,30,1
44,537,1
45,30,1
46,386,1
47,271,1
48,93,1
49,441,1
50,29,1
51,373,1
52,646,1
53,342,1
54,142,1
55,270,1
56,551,1
57,112,1
58,160,1
59,378,1
60,30,1
61,403,1
61,688,1
62,30,1
63,30,1
64,534,1
65,2614,1
66,1618,1
67,30,1
68,30,1
69,30,1
70,30,1
71,111,1
72,86,1
73,30,1
74,364,1
75,117,1
76,30,1
77,434,1
78,104,1
79,30,1
80,528,1
81,522,1
82,71,1
83,501,1
84,30,1
85,30,1
86,30,1
87,593,1
88,113,1
89,594,1
90,30,1
91,30,1
92,30,1
93,30,1
94,30,1
95,30,1
96,30,1
97,30,1
98,30,1
99,30,1
100,30,1
101,30,1
102,35,1
103,30,1
104,30,1
105,30,1
106,494,1
107,1211,1
108,3186,1
109,298,1
110,30,1
111,444,1
112,30,1
113,30,1
114,30,1
115,30,1
116,30,1
117,30,1
118,30,1
119,30,1
120,30,1
121,30,1
122,30,1
123,30,1
124,30,1
125,268,1
126,30,1
127,443,1
128,178,1
129,30,1
130,3769,1
131,444,1
132,30,1
133,30,1
134,30,1
135,30,1
136,30,1
137,30,1
138,337,1
139,317,1
140,285,1
141,125,1
142,257,1
143,482,1
144,707,1
145,127,1
146,2582,1
147,213,1
148,28,1
149,89,1
150,204,1
151,699,1
152,20,1
153,375,1
154,242,1
155,143,1
156,704,1
157,499,1
158,181,1
159,229,1
160,30,1
161,503,1
162,30,1
163,171,1
164,346,1
165,491,1
166,609,1
167,330,1
168,30,1
169,30,1
170,30,1
171,30,1
172,30,1
173,30,1
174,30,1
175,334,1
176,430,1
177,30,1
178,30,1
179,30,1
180,30,1
181,30,1
182,30,1
183,30,1
184,30,1
185,30,1
186,30,1
187,30,1
188,30,1
189,30,1
190,30,1
191,30,1
192,30,1
193,30,1
194,30,1
195,631,1
196,30,1
197,30,1
198,30,1
199,30,1
200,296,1
201,30,1
202,30,1
203,277,1
204,530,1
205,418,1
206,154,1
207,206,1
208,30,1
209,30,1
210,45,1
211,274,1
212,511,1
213,211,1
214,263,1
215,560,1
216,439,1
216,440,1
217,2,1
217,3,1
217,9,1
217,10,1
217,11,1
217,12,1
217,166,1
217,297,1
217,301,1
217,302,1
217,448,1
218,30,1
219,30,1
220,247,1
221,351,1
222,84,1
223,102,1
224,30,1
225,30,1
226,30,1
227,30,1
228,173,1
229,222,1
230,30,1
231,30,1
232,30,1
233,30,1
234,30,1
235,30,1
236,30,1
237,30,1
238,282,1
239,362,1
240,520,1
241,595,1
242,335,1
243,329,1
244,701,1
245,61,1
246,30,1
247,131,1
248,33,1
249,3335,1
250,2912,1
251,1998,1
252,1593,1
253,800,1
253,2185,1
254,2070,1
255,3589,1
256,1021,1
257,955,1
257,3145,1
258,570,1
258,1609,1
259,2549,1
259,2809,1
260,3337,1
261,2221,1
262,763,1
263,805,1
264,2813,1
264,2854,1
265,3466,1
265,3479,1
266,1968,1
267,2908,1
268,3244,1
269,3635,1
270,3727,1
271,2843,1
271,3283,1
272,3036,1
273,1695,1
274,1299,1
275,1238,1
276,1718,1
277,1606,1
278,1568,1
279,2193,1
280,2294,1
281,1395,1
281,2001,1
282,2252,1
283,3468,1
284,1682,1
284,3552,1
285,2157,1
286,3555,1
287,2502,1
288,2008,1
289,1629,1
290,879,1
291,3045,1
292,2161,1
292,2527,1
293,3424,1
294,1467,1
295,3549,1
296,2338,1
297,3044,1
298,3737,1
299,2857,1
300,2497,1
300,3461,1
301,2361,1
302,2929,1
303,1026,1
303,1451,1
303,3386,1
304,774,1
305,3375,1
306,2302,1
307,645,1
308,2039,1
309,3241,1
310,2067,1
311,2661,1
312,3281,1
313,2924,1
314,3398,1
315,3142,1
316,1660,1
317,3413,1
318,3099,1
319,3204,1
319,3482,1
320,3289,1
321,1243,1
322,3214,1
323,862,1
324,2278,1
325,2198,1
325,2476,1
326,2709,1
327,871,1
328,1339,1
329,114,1
329,3022,1
330,1181,1
331,889,1
332,1496,1
332,1872,1
